active	year
1	2013
1	2013
1	2013
1	2013
1	2013
1	2013
1	2013
1	2013
1	2013
1	2013
0	2013
1	2013
1	2013
1	2013
1	2013
1	2013
1	2013
1	2013
1	2013
1	2013
1	2013
1	2013
1	2013
1	2013
1	2013
1	2013
1	2013
1	2013
1	2013
1	2013
1	2013
0	2013
1	2013
1	2013
1	2013
1	2013
1	2013
1	2013
0	2013
1	2013
0	2013
1	2013
1	2013
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
0	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
0	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
0	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
0	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
0	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2014
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
0	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
0	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
0	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
0	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
0	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
0	2015
1	2015
1	2015
0	2015
0	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
0	2015
1	2015
0	2015
0	2015
0	2015
0	2015
0	2015
0	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
0	2015
0	2015
1	2015
1	2015
1	2015
1	2015
0	2015
1	2015
1	2015
0	2015
0	2015
1	2015
1	2015
0	2015
1	2015
0	2015
1	2015
1	2015
0	2015
1	2015
0	2015
0	2015
1	2015
0	2015
0	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
0	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
0	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
1	2015
0	2015
1	2015
1	2015
1	2015
1	2015
0	2015
1	2015
0	2015
1	2015
1	2015
1	2015
1	2015
0	2015
